Predicted_Temperature_C,Actual_Temperature_C
11.46656423061502,11.0
3.421713941825388,4.5
13.185024221146598,13.0
12.2405043192244,13.0
28.359584524314148,28.3
24.447017974424135,24.8
8.75045256370634,9.2
-1.234938033883303,0.2
22.425049619625078,21.4
18.158493661943382,16.6
9.226308211263614,9.4
17.991483210245548,18.1
10.228853366432062,12.2
22.467349923617384,22.5
5.813433647648203,7.1
15.740436971400221,14.9
6.737870076596437,7.3
6.984330582883203,6.4
11.09916081242337,11.5
3.9067703529580484,5.6
20.355600499278196,19.9
-2.4225986276927785,-2.2
7.480422055989152,7.6
21.612200355806124,21.5
3.2914735789563068,3.9
17.964934110083732,18.2
26.646977321197873,25.7
7.463099129328931,8.3
18.54915606985874,18.0
16.69594094942068,16.9
16.36180972405728,15.5
22.266196376633147,21.4
2.8485492995614123,1.6
14.283948550283924,14.2
18.183564339146265,17.2
6.488588475273808,7.0
4.944729221769769,6.1
23.18281747819056,21.8
12.469429516559039,14.0
11.855873307365961,13.1
29.36418026102853,29.1
11.786260730904708,13.0
8.367333104166029,7.7
1.4198407720830843,1.3
17.892082246639774,16.6
3.8860198785892095,2.4
7.190140209611371,6.9
7.570056581241076,9.3
11.75271853706947,12.5
12.505834870370599,12.3
7.719181669033389,9.0
23.445379434845883,22.4
13.917643425505034,12.2
17.91616985578883,18.1
1.9231319390579813,2.3
17.609864229462758,18.2
19.560840999916707,18.9
21.62842100847429,20.9
22.28579279020901,20.7
9.891716149095409,9.5
16.280857947788725,16.3
15.413817325114692,16.6
3.986120438965756,4.8
16.546399593297636,16.1
21.362283752582535,20.5
3.1446333309351786,3.7
5.563452548198796,6.2
22.882084266905633,22.2
21.53874911452683,20.9
20.668316466048573,20.1
-3.2252900643716984,-1.4
8.452762071889715,8.2
20.096096954554035,20.5
8.53323758447452,9.1
14.473958589795082,12.5
22.182094787125543,21.3
13.637260588310205,14.4
20.04215744399354,20.1
20.011622496237337,20.1
16.979026813143598,16.9
2.9360414996474375,4.6
6.667310560152501,6.1
4.304011787653728,5.2
2.6426178805115796,3.3
9.276265733170398,8.7
26.407900778021133,26.1
7.043924557800416,6.7
24.855717648992577,24.2
17.66768893867461,17.5
13.871894789286088,14.3
8.255672361718148,9.1
16.940658759935815,15.9
9.775583947302167,10.7
7.972482514065128,6.5
27.55070690903696,26.6
11.161110018136647,11.1
29.928345538735044,29.8
23.746030636375668,22.9
29.263481592742075,29.1
12.484702060832781,11.6
31.16240429171499,30.6
15.989245415005811,15.7
31.16583450035093,30.8
19.80104112514703,18.8
22.699494601806958,23.0
29.441433319578753,28.6
16.096726854149942,16.9
15.291459906505963,13.1
13.908788801836891,15.0
19.034807295768964,19.3
17.172646398305737,18.1
19.87611523753749,25.9
10.539146257207022,10.0
6.829223135337017,7.2
23.21146450472788,22.7
12.150092892070347,12.5
10.20004094686594,11.3
11.29228720483082,9.5
25.051696531156992,23.6
16.039486234081437,14.7
14.765787721625088,13.1
19.03476740199767,30.1
20.003737598238864,19.5
31.019773585049656,31.6
15.462211691565479,14.1
24.279706257432508,23.2
10.868603061454998,10.6
23.863075473452202,26.1
18.747325928789387,18.8
22.200812005789103,21.5
11.824442891437243,12.0
9.367350339393617,9.8
14.916813568402546,17.2
32.09253858159479,33.9
15.86095233692464,16.0
17.567464873782782,17.5
14.080850890368062,12.9
14.190454959632,13.5
14.024023129819156,12.7
13.105237103825637,14.2
22.07090226412285,21.2
28.477652690940488,29.0
26.466335655255246,26.7
13.356715749779724,13.0
16.290138652166654,15.5
10.161432514569206,10.3
19.961601190025064,20.7
16.518747368230656,17.2
1.0619849576969216,1.0
19.5244985166644,19.6
17.917658951609504,17.9
14.766459839140062,14.7
6.829918728638397,6.5
13.473990309644762,13.6
16.43641277341461,15.7
